2026-01-12 13:31:20.937 [main] INFO  org.testng.internal.Utils - [XmlSuite] [WARN] 'parallel' value 'false' is no longer valid, defaulting to 'none'.
2026-01-12 13:31:21.000 [main] INFO  utils.ScreenshotListener - ========================================
2026-01-12 13:31:21.000 [main] INFO  utils.ScreenshotListener - Test Suite Started: Amazon E-Commerce Test Suite
2026-01-12 13:31:21.000 [main] INFO  utils.ScreenshotListener - ========================================
2026-01-12 13:31:21.008 [main] INFO  TestSteps - ================================================================================
2026-01-12 13:31:21.008 [main] INFO  TestSteps -   TC_AMZ_001: Verify Valid Product Search
2026-01-12 13:31:21.008 [main] INFO  TestSteps - ================================================================================
2026-01-12 13:31:21.008 [main] INFO  testcase1 - Priority: CRITICAL (P1) | Type: Smoke Test | Automation: YES
2026-01-12 13:31:21.008 [main] INFO  testcase1 - Setting up WebDriverManager for Chrome
2026-01-12 13:31:23.798 [main] INFO  io.github.bonigarcia.wdm.WebDriverManager - Using chromedriver 143.0.7499.192 (resolved driver for Chrome 143)
2026-01-12 13:31:23.803 [main] INFO  io.github.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as /Users/anishk/.cache/selenium/chromedriver/mac-arm64/143.0.7499.192/chromedriver
2026-01-12 13:31:23.804 [main] INFO  testcase1 - WebDriverManager setup completed
2026-01-12 13:31:23.806 [main] INFO  testcase1 - --- Test Setup Started ---
2026-01-12 13:31:24.515 [main] INFO  testcase1 - ChromeDriver initialized successfully
2026-01-12 13:31:24.517 [main] INFO  testcase1 - AmazonSearchFunctions initialized
2026-01-12 13:31:24.517 [main] INFO  testcase1 - --- Test Setup Completed ---
2026-01-12 13:31:24.517 [main] INFO  utils.ScreenshotListener - Starting test: testValidProductSearch
2026-01-12 13:31:24.518 [main] INFO  TestExecution - 
2026-01-12 13:31:24.518 [main] INFO  TestExecution - ################################################################################
2026-01-12 13:31:24.518 [main] INFO  TestExecution - # TEST CASE: TC_AMZ_001 - Verify Valid Product Search
2026-01-12 13:31:24.518 [main] INFO  TestExecution - ################################################################################
2026-01-12 13:31:24.518 [main] INFO  testcase1 - Search Keyword: laptop
2026-01-12 13:31:24.518 [main] INFO  testcase1 - Expected Minimum Results: 10
2026-01-12 13:31:24.519 [main] INFO  TestSteps - >>> Step 1 : Navigate to Amazon homepage
2026-01-12 13:31:38.686 [main] INFO  testcase1 - Navigation successful to: https://www.amazon.com
2026-01-12 13:31:38.687 [main] INFO  TestSteps - >>> Step 2 : Locate search box
2026-01-12 13:31:39.240 [main] INFO  testcase1 - Search box located successfully
2026-01-12 13:31:39.240 [main] INFO  TestSteps - >>> Step 3 : Clear search box
2026-01-12 13:31:39.252 [main] INFO  testcase1 - Search box cleared
2026-01-12 13:31:39.252 [main] INFO  TestSteps - >>> Step 4 : Enter search keyword: laptop
2026-01-12 13:31:39.284 [main] INFO  testcase1 - Keyword 'laptop' entered successfully
2026-01-12 13:31:39.284 [main] INFO  TestSteps - >>> Step 5 : Locate search button
2026-01-12 13:31:39.293 [main] INFO  testcase1 - Search button located
2026-01-12 13:31:39.293 [main] INFO  TestSteps - >>> Step 6 : Click search button
2026-01-12 13:31:45.695 [main] INFO  testcase1 - Search button clicked
2026-01-12 13:31:45.695 [main] INFO  TestSteps - >>> Step 7 : Wait for search results to load
2026-01-12 13:31:45.705 [main] INFO  testcase1 - Search results loaded successfully
2026-01-12 13:31:45.705 [main] INFO  TestSteps - >>> Step 8 : Verify results count text
2026-01-12 13:31:45.716 [main] WARN  testcase1 - Results count text format may have changed, but continuing test...
2026-01-12 13:31:45.716 [main] INFO  TestSteps - >>> Step 9 : Count product cards and verify minimum
2026-01-12 13:31:45.721 [main] INFO  testcase1 - Found 16 product cards
2026-01-12 13:31:45.721 [main] INFO  testcase1 - Minimum product count requirement met
2026-01-12 13:31:45.721 [main] INFO  TestSteps - >>> Step 10 : Verify first product has image
2026-01-12 13:31:45.732 [main] INFO  testcase1 - First product image verified
2026-01-12 13:31:45.733 [main] INFO  TestSteps - >>> Step 11 : Verify first product has title
2026-01-12 13:31:45.742 [main] INFO  testcase1 - First product title verified
2026-01-12 13:31:45.742 [main] INFO  TestSteps - >>> Step 12 : Verify first product has price
2026-01-12 13:31:45.750 [main] INFO  testcase1 - First product price verified
2026-01-12 13:31:45.750 [main] INFO  testcase1 - --- Additional Validation ---
2026-01-12 13:31:45.750 [main] INFO  TestSteps - >>> Additional : Validate first 10 products
2026-01-12 13:31:45.890 [main] INFO  testcase1 - All validated products have required elements
2026-01-12 13:31:45.890 [main] INFO  testcase1 - ========================================
2026-01-12 13:31:45.890 [main] INFO  testcase1 - TEST RESULT: PASSED ✓
2026-01-12 13:31:45.890 [main] INFO  testcase1 - ========================================
2026-01-12 13:31:45.890 [main] INFO  testcase1 - Summary:
2026-01-12 13:31:45.890 [main] INFO  testcase1 -   ✓ Search results page displayed
2026-01-12 13:31:45.890 [main] INFO  testcase1 -   ✓ Found 16 products (minimum required: 10)
2026-01-12 13:31:45.890 [main] INFO  testcase1 -   ✓ Products have required elements: image, title, price
2026-01-12 13:31:45.890 [main] INFO  testcase1 -   ✓ Results are relevant to keyword: 'laptop'
2026-01-12 13:31:45.892 [main] INFO  testcase1 -   ✓ Current URL: https://www.amazon.com/s?k=laptop&ref=nb_sb_noss
2026-01-12 13:31:45.892 [main] INFO  testcase1 - ========================================
2026-01-12 13:31:45.893 [main] INFO  TestExecution - ################################################################################
2026-01-12 13:31:45.893 [main] INFO  TestExecution - # TEST CASE TC_AMZ_001 - RESULT: PASSED
2026-01-12 13:31:45.893 [main] INFO  TestExecution - ################################################################################
2026-01-12 13:31:45.893 [main] INFO  TestExecution - 
2026-01-12 13:31:45.894 [main] INFO  utils.ScreenshotListener - Test passed: testValidProductSearch
2026-01-12 13:31:45.894 [main] INFO  testcase1 - --- Test Teardown Started ---
2026-01-12 13:31:45.894 [main] INFO  testcase1 - Browser session maintained for next test
2026-01-12 13:31:45.894 [main] INFO  testcase1 - --- Test Teardown Completed ---
2026-01-12 13:31:46.016 [main] INFO  testcase1 - Browser closed successfully
2026-01-12 13:31:46.016 [main] INFO  testcase1 - ========================================
2026-01-12 13:31:46.016 [main] INFO  testcase1 - ALL TESTS COMPLETED FOR TC_AMZ_001
2026-01-12 13:31:46.016 [main] INFO  testcase1 - ========================================
2026-01-12 13:31:46.017 [main] INFO  TestSteps - ================================================================================
